iter	Passed	Remaining
455	668	28637
456	669	28627
457	670	28611
458	671	28599
459	672	28584
460	673	28565
461	675	28550
462	676	28534
463	677	28520
464	678	28509
465	679	28503
466	681	28489
467	682	28474
468	683	28455
469	684	28441
470	685	28419
471	686	28404
472	687	28397
473	688	28381
474	690	28370
475	691	28354
476	692	28338
477	693	28329
478	694	28317
479	696	28307
480	697	28294
481	698	28281
482	699	28265
483	700	28254
484	701	28239
485	702	28222
486	704	28210
487	705	28205
488	706	28194
489	707	28177
490	708	28160
491	709	28142
492	710	28130
493	712	28115
494	713	28106
495	714	28091
496	715	28074
497	716	28060
498	717	28044
499	718	28029
500	719	28018
501	720	28003
502	722	27987
503	723	27975
504	724	27961
505	725	27951
506	726	27941
507	728	27950
508	729	27937
509	730	27929
510	731	27917
511	733	27903
512	734	27885
513	735	27871
514	736	27856
515	737	27847
516	738	27836
517	739	27826
518	740	27813
519	741	27796
520	743	27784
521	744	27767
522	745	27751
523	746	27734
524	747	27719
525	748	27726
526	750	27720
527	751	27709
528	752	27695
529	753	27684
530	754	27673
531	755	27663
532	757	27652
533	758	27638
534	759	27632
535	760	27621
536	761	27608
537	763	27602
538	764	27591
539	765	27582
540	766	27571
541	767	27558
542	768	27543
543	769	27537
544	771	27525
545	772	27521
546	773	27508
547	774	27495
548	775	27482
549	776	27472
550	778	27463
551	779	27455
552	780	27441
553	781	27431
554	782	27422
555	783	27414
556	785	27402
557	786	27392
558	787	27386
559	788	27372
560	789	27364
561	790	27353
562	791	27342
563	793	27335
564	794	27323
565	795	27314
566	796	27306
567	797	27298
568	799	27291
569	800	27280
570	801	27273
571	802	27268
572	803	27256
573	805	27244
574	806	27231
575	807	27221
576	808	27212
577	809	27203
578	810	27190
579	811	27182
580	812	27170
581	813	27157
582	815	27145
583	816	27134
584	817	27121
585	818	27112
586	819	27105
587	820	27094
588	821	27085
589	823	27075
590	824	27064
591	825	27054
592	826	27045
593	828	27056
594	829	27047
595	830	27037
596	831	27026
597	832	27011
598	833	27005
599	834	26993
600	835	26981
601	837	26971
602	838	26958
603	839	26949
604	840	26938
605	841	26933
606	842	26923
607	843	26914
608	845	26906
609	846	26898
610	847	26891
611	848	26882
612	849	26871
613	850	26856
614	851	26846
615	852	26837
616	854	26829
617	855	26819
618	856	26809
619	857	26801
620	858	26789
621	859	26781
622	860	26776
623	862	26769
624	863	26761
625	864	26754
626	865	26743
